LocationAbbr,Topic,Data_Value,Data_Value_Unit,state,facility_id,activity
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,233.3,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,300.0,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,371.2,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,238.8,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,173.6,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,293.9,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,364.6,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,161.1,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,305.4,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,471.1,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,237194,SWIMMING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,233961,BIKING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,233961,CAMPING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,233961,FISHING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,233961,HIKING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,233961,HUNTING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,233961,WINTER SPORTS
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,233961,WILDLIFE VIEWING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,239015,HIKING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,248582,AUTO TOURING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,248582,HIKING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,248582,HORSEBACK RIDING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,239004,BIKING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,239004,HIKING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,239004,HORSEBACK RIDING
ID,Heart Disease Mortality,188.0,"per 100,000 population",ID,10071169,HIKING
ID,Heart Disease Mortality,143.4,"per 100,000 population",ID,232087,BOATING
ID,Heart Disease Mortality,143.4,"per 100,000 population",ID,232087,CAMPING
ID,Heart Disease Mortality,143.4,"per 100,000 population",ID,232087,FISHING
ID,Heart Disease Mortality,143.4,"per 100,000 population",ID,232087,WATER SPORTS
ID,Heart Disease Mortality,143.4,"per 100,000 population",ID,232087,WILDLIFE VIEWING
ID,Heart Disease Mortality,143.4,"per 100,000 population",ID,232087,SWIMMING SITE
ID,Heart Disease Mortality,143.4,"per 100,000 population",ID,237194,BOATING
ID,Heart Disease Mortality,143.4,"per 100,000 population",ID,237194,FISHING
ID,Heart Disease Mortality,143.4,"per 100,000 population",ID,237194,SWIMMING
